mcs7PSU,RT @ClimateReality: Can you stand the heat? #ClimateChange @RosemaryMosco http://t.co/rO5EXgWlZP
Themebar,"RT @Hurshal #climatechange Did climate change cause California drought? CNN Adam Sobel, a…… http://t.co/Bzx7Qhp7ce http://t.co/DfsWVrh25o"
Olakunle73,Please RT SAVE THE AMAZON BY SIGINING THE PETITION @ http://t.co/1Y9SUicxqb. #ClimateChange #ClimateAction #Rainforest #Amazon
apidaeDI,Need to #connect people: technology + community engagement is crucial for #climatechange #communications @connect4climate @adambumpus
treesnick,RT @stevebeasant: #LibDemmanifesto to include a commitment to fight #climatechange &amp; protect the environment with 5 Green Laws #LibDems htt…
tdw1116,Obama: Daughter's asthma attack made climate change personal http://t.co/MmI7KLbto5 Still coming up with ways to push #ClimateChange scam.
TheRetroExec,RT @Carbongate: Experts from around the world confirm the arrival of a new ice age #climatechange http://t.co/HQGx8leBq9
artgeo69,"Regardless of what you call it, #climatechange is real, forcing D &amp; R governors to ack the science and making liberal treehuggers of us all."
weiskopfd,"RT @HectorSolon: ""If someone wants 2 get serious abt tackling #climatechange, they ask abt working w us, they don’t threaten to sue us”-@LC…"
Kevin_Wall1,RT @LiveEarth: The @Guardian picked their favorite #ClimateChange quotes from World leaders. Which is yours? @barackobama http://t.co/LtJyw…
esgarchitect,"Just do not call it #climatechange in case @WSJ @WSJeditorial hears about your reporting, moves you to popculture... https://t.co/Wp9VzR0Qz6"
IlluminexLED,"RT @sustainablebizz: Mexico and Russia Among The First to Submit Climate Pledges 
http://t.co/eoUUhlsFG5 #actonclimate #climatechange"
controlroom,RT @LiveEarth: The @Guardian picked their favorite #ClimateChange quotes from World leaders. Which is yours? @barackobama http://t.co/LtJyw…
sleznikow,RT @Salon: #Wisconsin #republicans ban state official from answering emails about #climatechange. Unbelievable!  http://t.co/1qGZXQU2sl
FlyinMonkeyFree,"A #mighty #wind in #NewJersey.  State #oceanographer soon, @GovChristie! w @BillNye @RAANewBrunswick #climatechange http://t.co/EZJ1ku2IPz"
MrJonBurk,"Here's the weather in your neck of the woods...

@foster_dawg @alroker #climatechange http://t.co/qclKD9jYUk"
NRSenner,RT @BirdBiologist: Spring temps affect strength of selection on timing of breeding in a #migratory #bird http://t.co/gQPwSMMVVl #PLOSBiolog…
witosg,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
KSITESL,"@milesjreed @SenWarren GOD BLESS U SEN WARREN Fighting4 Families,#MiddleClass #Equality #Union #ClimateChange ETC. #UniteBlue 💙🇺🇸💙#VoteBlue"
Kat4Obama,"The President Speaks on Impacts of #ClimateChange on Public Health, 4/7/15. WH video: http://t.co/ZoqqYYaA8Z Text: http://t.co/6oQ17tXGZe"
COP21MIW,"Ricardo Lagos: ""What kind of investments are going to be made? Will they be friendly w/ #climatechange? This is key"" http://t.co/S2AmUIr7yw"
ThDole,"RT @COP21MIW: .@eclac_un's Samaniego: ""Looking forward, 3 key issues in #LatinAmerica are #climatechange, democracy &amp; quality of life/ soci…"
RocioSari,RT @LCVoters: @WhiteHouse is taking on health threats of #ClimateChange: http://t.co/WLkkPTus3I
caszsmom,RT @Defenders: RT @JClarkprez: Fascinating compilation of studies of public opinion on #climatechange.  http://t.co/iGIhE9vAiO
Connect4Climate,".@Aimee587 @ClimateHotNews: ""When talk about #climatechange we need to create a connection in people's everyday life"" #TakeOn #Ourturntolead"
pranavbharti08,RT @UNEP: MT: #climatechange affects #health. But how? Learn from @uncclearn module here! http://t.co/26C4JFNdvw @WHO http://t.co/PkoEa5qMos
weiskopfd,"RT @YoginUCS: BREAKING from @aaronhuertas: Industry, not *your* activities, is causing #climatechange http://t.co/uM61uWxE5A (via @HuffPost…"
nadinechucri,Want to learn more on #EO and #climatechange? Take this #MOOC by esa starting 08.06.2015! http://t.co/yHeC3vX7S2 #satapps #innovation
trevdick,RT @stevebeasant: #LibDemmanifesto to include a commitment to fight #climatechange &amp; protect the environment with 5 Green Laws #LibDems htt…
apidaeDI,"""Create community, share ideas, build trust and people will become invested in #climatechange action"" @Aimee587 #TakeOn @Connect4Climate"
JessicaNilsson6,RT @SwedenUN: SE Amb Foyer: Need to adress linkages between #climatechange &amp; #ocean acidification. #post2015 #COP21 #action2015
climatechange_a,"As climate change research evolves, some areas of study become more popular and... #ClimateChange http://t.co/aZqYJh7ugN"
Truthseer1961,@mcspocky @Petapup1 Should I continue? Or would you rather talk about #ClimateChange?
GreenerSquare,One of the most #important #news articles for 2015 &amp; beyond - Avoiding the Climate Tipping Point http://t.co/0e1gLlFx8f #climatechange
HealthyAmerica1,We applaud @WhiteHouse effort to combat #health impacts of #climatechange  #CleanAir4Kids #NPHW  #NPHWchat
Eurisy1,Want to learn more on #EO and #climatechange? Take this #MOOC by @esa starting 08.06.2015! http://t.co/wGAuKA4lIi #satapps #innovation
suzyhut,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
DominiqueVanpee,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
Fibarchie,Arctic research vessel set adrift to study sea ice decline http://t.co/9OBfqB33fC #climatechange #agw
YoOracle,Arctic research vessel set adrift to study sea ice decline http://t.co/JunF38sTYa #climatechange #agw
themoneyweek,Arctic research vessel set adrift to study sea ice decline http://t.co/eNchuTtx1h #climatechange #agw
Margrz,Using #ClimateChange  Global Warming to Return U.S. to Civil War Era America http://t.co/Tj1q9idLpt
Casandra_aqui,Any serious discussion on #ClimateChange must include  http://t.co/mXEXugPfjT http://t.co/RvruaQrfJI #CuiBono
IskanderBenAmor,"RT @lyssaneel: In the age of #climatechange, water is the new oil.
#Canada, which has ~20% of the world's freshwater resources, is the next…"
OurHealthyCity,"Obama highlights the link between #climatechange and #publichealth 
http://t.co/MLMnuQDZ8K"
newsageagro,"RT @alawine: ""...How will #ClimateChange impact #wine production? - @Harvard"" MT @RichardMcLellan http://t.co/cnMV3TCJfy http://t.co/ihHBSQ…"
billingspg,RT @LungAssociation: #Climatechange impacts our #air and our #health. Here's how: http://t.co/y5LTcg9NtN #NPHW #CleanAir4Kids http://t.co/L…
asiseeitnow,"RT @JWSpry: @SteveSGoddard @GalileoMovement ""Melting Arctic sea ice, a keenly watched measure of #ClimateChange has “paused”"" http://t.co/7…"
lois_rogers,Messing With Texas: Yet More Temperature Tampering. Manufactured #GlobalWarming #ClimateChange http://t.co/MdSQ2n7KoS via @BreitbartTexas
postonpolitics,Obama: Malia's asthma brings home #climatechange debate http://t.co/Mp82tFHLmX http://t.co/UwuISvRrI5
silva_lcr,"From steak to mangoes, here are some water-hogging foods http://t.co/sAGtDYInuv #drought #California #sustainability #climatechange @UC"
daretothink53,"RT @FlaSenateDems: Looks like @FLGovScott ban on words #climatechange, #globalwarming spawning imitators in Wisconsin #FlaPol http://t.co/h…"
janis4aloha,Small-Scale Farmers Cool the Planet http://t.co/5F2zz73oFJ @drvandanashiva @occupytheseed @OrganicConsumer @RodaleInstitute #climatechange
TorranceCoste,Scary stuff: How #Canada Could Cash In On #California's #Drought https://t.co/HXWAvwt3NJ #cdnpoli #uspoli #climatechange
ArcticScienceJ,RT @wef: How are #Antarctica's ice shelves changing? http://t.co/TNgB6iMQTb #climatechange http://t.co/OYfsyX9eGv
CourtSaintJohn,"RT @Connect4Climate: .@Connect4Climate: @LuciaGrenna ""We need to break down #climatechange in a way that's understandable by everybody"" #Ta…"
dennisearlbaker,"@UoMEngSci @Livermore_Lab @DaltonNuclear #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
GThawley,".@noahpinion Clean energy revolution is ahead of schedule. http://t.co/eKe9EVnjT7 via @BV #climatechange #energy Phase out ""dirty"" fuels!"
OlumideIDOWU,"RT @estherclimate: I don't know if I have said this before, but I am very proud of @OlumideIDOWU for his sincerity of passion to fight #cli…"
COP21MIW,".@eclac_un's Samaniego: ""Looking forward, 3 key issues in #LatinAmerica are #climatechange, democracy &amp; quality of life/ social welfare"""
UCMercedLorena,RT @chriscmooney: Want proof of #climatechange? Now people want to race yachts through the Northwest Passage http://t.co/gHZDlIep7G
paulmcclintock,"RT @FlaSenateDems: Looks like @FLGovScott ban on words #climatechange, #globalwarming spawning imitators in Wisconsin #FlaPol http://t.co/h…"
hiveenergy,RT @EarthDayNetwork: #Join .@Connect4Climate &amp; .@EarthDayNetwork eDiscussion at 11AM EDT: innovative strategies to #TakeOn #climatechange h…
Connect4Climate,".@Aimee587 @ClimateHotNews: ""Social media is the perfect tool to communicate #climatechange among millennials"" @EarthDayNetwork #TakeOn"
dennisearlbaker,"@BrotherJesse @AllRealradio @1likezin #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
maxthabiso,"RT @Connect4Climate: .@Connect4Climate: @LuciaGrenna ""We need to break down #climatechange in a way that's understandable by everybody"" #Ta…"
FossilFreeGenus,RT @arhobley: Carbon Tracker will make the financial case for tackling #climatechange at @WorldBank Spring Meetings in DC on 15/04 http://t…
__Environment_,#ClimateChange Obama: Climate change spreading insect-borne diseases: …  that rising temperatures due to clima...  http://t.co/nwpr8CQLY9
apidaeDI,"""Social media let u reach people where they already spend time - a powerful tool for creating action on #climatechange"" @Aimee587 #TakeOn"
GTMGQ,RT @Carbongate: Experts from around the world confirm the arrival of a new ice age #climatechange http://t.co/HQGx8leBq9
maria_yocupicio,"RT @banegas_cool: 📝BLOG: On #Iran and #ClimateChange , @BarackObama puts stamp on 2016 👉http://t.co/81Fzno8GWv | @ThePlumLineGS #Elections2…"
MathewABarlow,RT @ldattaro: For @CJR; A group of climate scientists is annotating #climatechange journalism on the web @ClimateFdbk http://t.co/sXj2cu5lzb
Palialexis,5 τρόποι για να μειώσουμε την Κλιματική Αλλαγή #ClimateChange http://t.co/WeHLaIrvDi
Connect4Climate,".@Connect4Climate: @LuciaGrenna ""We need to break down #climatechange in a way that's understandable by everybody"" #TakeOn @EarthDayNetwork"
bkparallax,RT @Carbongate: Experts from around the world confirm the arrival of a new ice age #climatechange http://t.co/HQGx8leBq9
ClimateWise2015,RT @MissionClimate: #Mission:#Climate @ home &gt; Pull chargers from the wall and turn off computers (by @gaiam) #ClimateChange #Tip #ImpactIs…
ClimateWise2015,RT @climatechange_a: Thermorons http://t.co/z8e3kJaOlD #ClimateChange
laurensneyd,RT @CIFOR: From Africa @joan_baxter writes on a new lab revolutionizing #climatechange research in the Congo Basin http://t.co/Dbv0JtQElp
enzo7466,"RT @NRDC: This week, the Obama administration took action to protect communities from #climatechange impacts. http://t.co/9pyqJvt2Oq"
SkymetWeather,AMAZING: An invention which uses the air around you to create water! SEE NOW: http://t.co/fvCaO8za15 #climatechange #savewater #waterislife
ShiCooks,My territory is changing so quickly now. Why? @theresamax http://t.co/bAXGLEiclx h/t @LarsJohanL @morgfair #climatechange #GlobalWarming
jebocanegra1,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
DipolarTheist,RT @claritypress: Theologian John Cobb discusses Griffin climate book Unprecedented.http://t.co/SoN5ElV5YN password cruelestmonth #climatec…
Carbongate,Experts from around the world confirm the arrival of a new ice age #climatechange http://t.co/HQGx8leBq9
udvardys,RT @LiveEarth: The @Guardian picked their favorite #ClimateChange quotes from World leaders. Which is yours? @barackobama http://t.co/LtJyw…
EcoScienceNews,Energy white paper 'wilfully deluded' on climate change. http://t.co/QkZenJkxpV #Energy #ClimateChange
thisisexcellent,"RT @UNEP: With climate concerns mounting, see how water conservation can help combat #ClimateChange : http://t.co/zeWsk8nTKG"
roastgarlic,"RT @BowlerDerek: RT UN: #Climatechange is a “hunger-risk multiplier,” FAOnews convo on impacts on food &amp; nutrition … http://t.co/bRfGpcxSXy"
TonyJefferies,RT @tjwiseman: @mayana_mayra These companies poison water without remorse - Please retweet http://t.co/qVuKLQZz0d #fracking #environment #C…
RecruiterHouTX,"RT @NRDC: This week, the Obama administration took action to protect communities from #climatechange impacts. http://t.co/9pyqJvt2Oq"
auroragianina,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
mervynvk,RT @FoE_Canada: New study reveals that 70% of Canada's glaciers could melt by 2100 as a result of #ClimateChange: http://t.co/qjo8g0XaR0
LuciaGrenna,"RT @apidaeDI: ""Break it down to something that is understandable and taken as seriously as it is"" @LuciaGrenna #takeon #climatechange @conn…"
MDavidBerry,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
jebocanegra1,"RT @PplOverPower: #fossilfuels gave $250,000 2each of the 62 senators who voted yes on #KeystoneXL http://t.co/jFYpK5j47n #UniteBlue #clima…"
snap_is,California drought: Dry past &amp; future #climatechange drive need for sustainable water use: http://t.co/TRakNnzlYn HT @jjopperman
nature_brains,California drought: Dry past &amp; future #climatechange drive need for sustainable water use: http://t.co/I3VLEf2md3 HT @jjopperman
welfordwrites,The importance of telling children the truth about global warming http://t.co/dNhcl8Wt4D #globalwarming #climatechange
stephen_yeboah,"RT @Connect4Climate: @Revkin: ""When you talk about #climatechange is important to separate the science from the values"" @EarthDayNetwork #T…"
CourtSaintJohn,RT @detous: A Guide to Effective #ClimateChange Communication: http://t.co/kXA6QfCuJW @CourtSaintJohn Web Now: @Connect4Climate http://t.co…
thejurasout,Tell @JebBush and @MarcoRubio: Denounce #Florida's #climatechange gag order. cc: @FLGovScott http://t.co/Ek4a9qW1Fm #p2
Connect4Climate,"@LuciaGrenna ""We need to break down #climatechange in a way that's understandable by everybody"" #TakeOn @EarthDayNetwork"
angelajopitz,RT @TorontoPigSave: Cowspiracy: As California Faces Drought Film Links Meat Industry to Water Scarcity &amp; #ClimateChange http://t.co/HjC2qMt…
mervynvk,RT @sustaincities: 67 cities with #energyefficient building policies tackling #climatechange http://t.co/e29UZ3JWPV @c40cities @USGBC http:…
foe_us,"RT @cometparty: My sister @katedeangelis on Al Jazeera speaking for @foe_us: ""Has Obama Been a Green President?"" http://t.co/x37MYKYSUZ #cl…"
Mamadoxie,"I'm sure 0's daughter is exposed to all kinds of #Climatechange in the WH, on Air Force One, at her Posh Private school and on fancy VACAY$"
sweetangelface,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
NNW_101,Scheduled Tornado Swarm http://t.co/ZTkXfS8fSG #Geoengineering #Weather #climatechange #globalwarming #moore #tornado #okwx #WW101
SOCAAR_UofT,Can the world economy survive without fossil fuels? http://t.co/dC58V7ngNT via @guardian #scicomm #climatechange
MEDsyntrix,Obama: #ClimateChange May Fuel Spread of #Diseases http://t.co/6git5tIVxa via @NBCNews #nurses #nursing #health #publichealth
SarahLMartinez1,Poll: Americans Starting to Worry About #ClimateChange Now That It Affects Their Lawns http://t.co/pp8H4oaoq7 via @BorowitzReport
apidaeDI,"""Break it down to something that is understandable and taken as seriously as it is"" @LuciaGrenna #takeon #climatechange @connect4climate"
Mathewson848,RT @rabbleca: Oiling the machinery of climate change denial and transit opposition http://t.co/KRkX6v28yj via @DavidSuzukiFDN #climatechange
smashenanoop,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
apidaeDI,"""#climatechange is not neutral - it's very real. How do we break down communication so people can act?""@LuciaGrenna #TakeOn"
dianaginting27,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
dennisearlbaker,"@EcofiscalCanada @LinkedEnergy1 #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
NaimiRoaYusti,"RT @TonysAngle: Climate change impacts in #SouthAfrica
http://t.co/UpsSEpc6Ss via @UNUWIDER #climatechange"
dennisearlbaker,"@PureShakti @KaraArdan @rankandfileca #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
Connect4Climate,"@LuciaGrenna: ""#Climatechange is not a neutral entity, it is real to people!"" @EarthDayNetwork #TakeOn #Ourtimetolead"
Ednasroman,"RT @banegas_cool: 📝BLOG: On #Iran and #ClimateChange , @BarackObama puts stamp on 2016 👉http://t.co/81Fzno8GWv | @ThePlumLineGS #Elections2…"
laplacanancy,"#ALEC denies it is a #climatechange #denier http://t.co/EdcM8k84tZ Ha! Call the waaaahmbulance, quick! @dukeenergy @aoutherncompany @aps FYI"
KTw1tty,RT @rabbleca: Oiling the machinery of climate change denial &amp; transit opposition http://t.co/Z6vNTuA8E1 via @DavidSuzukiFDN #climatechange
deniseizac,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
Ednasroman,RT @llendonmar46: Obama: Climate Change Is Harming Americans' Health http://t.co/gfqssfCYwE via @HuffPostPol #UniteBlue #USlatino #p2 #clim…
VerityPlayer,RT @JeremyLeggett: Carbon Tracker will make the financial case for tackling #climatechange at @WorldBank Spring Meetings in DC on 15/04 htt…
MissionClimate,#Mission:#Climate @ home &gt; Pull chargers from the wall and turn off computers (by @gaiam) #ClimateChange #Tip #ImpactIsReal
HankCampbell,RT @CCLContraCosta: How to move people on #climatechange? Let them know the price of their BEER will go up! #climate http://t.co/0OwQjQIXxr
Eco_Wife,Posts from Today's Climate for 04/08/2015 http://t.co/Dyd824jYSM #ClimateChange
SnowHydro,"RT @CGU_UGC: CGU member Luke Copland @uOttawa quoted on #climatechange, #Arctic research &amp; #cdnsci http://t.co/wUiXR4zMRe in @TheVarsity HT…"
Nadya_HutaGalng,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
YoginUCS,"BREAKING from @aaronhuertas: Industry, not *your* activities, is causing #climatechange http://t.co/uM61uWxE5A (via @HuffPostGreen)"
815wrldtrvlr,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
SayNo2Nukes,RT @JJGiannantonio: #ClimateChange: Vital Signs of the #Planet: #Air quality: A tale of three cities http://t.co/RhCeSfTEGL … via @NASA #CSR
MonsterMarcia,"RT @PplOverPower: #fossilfuels gave $250,000 2each of the 62 senators who voted yes on #KeystoneXL http://t.co/jFYpK5j47n #UniteBlue #clima…"
dennisearlbaker,"@robinchriss @Gary_Chandler #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
MonsterMarcia,RT @PplOverPower: McConnell admits republicans are run by #KochBrothers http://t.co/pymmy7oi2J #KeystoneXL #NoKXL #UniteBIue #climatechange…
detous,A Guide to Effective #ClimateChange Communication: http://t.co/kXA6QfCuJW @CourtSaintJohn Web Now: @Connect4Climate http://t.co/LjFLKJTI1f
CGU_UGC,"CGU member Luke Copland @uOttawa quoted on #climatechange, #Arctic research &amp; #cdnsci http://t.co/wUiXR4zMRe in @TheVarsity HT @speakup4sci"
AWAKEALERT,"World Glaciers are reducing due to #GlobalWarming #climatechange 
#climateconversations #ClimateAction
  https://t.co/dDGyDpMa7f"
EsperLili,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
Dr_Bermudez,RT @CalPERS: APG adds support to BP #ClimateChange resolution  http://t.co/A9wOada6Ho - via @Reuters.
carolinacantu01,"RT @SaketMANI: Join @wrldyth's Int'l Workshop on #ClimateChange &amp; @myworld2015 #Malaysia 
Apply: http://t.co/yFybyEuNab @ravikarkara http:/…"
Connect4Climate,"@LuciaGrenna: ""When you communicate about #climatechange and solutions there is no silver bullet"" @EarthDayNetwork #TakeOn"
dennisearlbaker,"@LBS #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
ColumbiaCRED,"RT @Connect4Climate: @CourtSaintJohn @ColumbiaCRED: ""To communicate #climatechange you have to understand your audience issues and propose …"
ClimateActionWR,RT @ACTadaptation: Last chance! Free ACT webinar: #Climatechange adaptation financing for Canadian local govts. Register: https://t.co/M94y…
climatechange_a,Thermorons http://t.co/z8e3kJaOlD #ClimateChange
Zycodai,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
dennisearlbaker,"@StanfordBiz #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
whizzdom_music,RT @NewDay: .@drsanjaygupta sat down with @BarackObama to discuss #climatechange &amp; the Affordable Care Act. Watch at 6:50amET. http://t.co/…
dennisearlbaker,"@Harvard #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
dennisearlbaker,"@HarvardHBS #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
ericmtyson,RT @ChuckNellis: ANOTHER #ClimateChange LIE!! ** Messing With Texas: Yet More Temperature Tampering. - Breitbart http://t.co/0YOzCtNENu via…
IanJames007,RT @EcoWatch: .@DavidSuzuki: #KochBrothers Continue to Oil the Machine of #ClimateChange Denial http://t.co/KAMY9qWKtj @350 @NRDC http://t.…
AncientHominids,Find Out Which Companies Responsibly Source Palm Oil (You Might Be Surprised) http://t.co/GcBHD7ccWa #climatechange
pamhindle,RT @tjwiseman: @pamhindle These companies poison water without remorse - Please retweet http://t.co/qVuKLQZz0d #fracking #environment #Clim…
Okay_now_what,"RT @Greenpeace: US Medical schools begin training students to treat diseases resulting from #climatechange.
http://t.co/azXk0K76Ab http://t…"
dianakayloesch,WaPo's Dana Milbank's Epic Climate Change Fail - Breitbart http://t.co/NdOS1AEbv7 via @BreitbartNews #climatechange
detous,A Guide to Effective #ClimateChange Communication: http://t.co/kXA6QfCuJW @CourtSaintJohnOn Discuss: @Connect4Climate http://t.co/LjFLKJTI1f
dennisearlbaker,"@MITSloan #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
HealthSTEM,"RT @USGS: Coral reef webinar 4/16 @5pmET Avoid barriers, missing it’ll take atoll on ya! http://t.co/R6Vjut05Qq #climatechange http://t.co/…"
Hurshal,"#climatechange Did climate change cause California drought? CNN Adam Sobel, a… http://t.co/YNVi6KxMJp via #hng http://t.co/F9RxAxDBZ2"
CourtSaintJohn,"RT @Connect4Climate: @CourtSaintJohn @ColumbiaCRED: ""To communicate #climatechange you have to understand your audience issues and propose …"
dennisearlbaker,"@Mitefcmb #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
Vineaway,"RT @alawine: ""...How will #ClimateChange impact #wine production? - @Harvard"" MT @RichardMcLellan http://t.co/cnMV3TCJfy http://t.co/ihHBSQ…"
dianakayloesch,Jerry Brown Presidential Campaign Bashed by Carly Fiorina Campaign http://t.co/ZQnfrWLx7F via @BreitbartNews #climatechange
TracyMaCrazy,RT @MSR_Future: Small Modular Reactors and #Nuclear Startups Possibly on the Horizon #ClimateChange http://t.co/HPHMZReIun http://t.co/P6E5…
carolinacantu01,Join @wrldyth International Workshop on #ClimateChange @myworld2015 #Malaysia Apply http://t.co/FPobvlFANi
AraucariaUK,The businessman who uses his millions to change opinions on #climatechange @JochenZeitz http://t.co/MfwcoIlk28 http://t.co/4CPN4fymNn
ShelleyCHolmes,If all the ice melted http://t.co/T2VIvCMHEo #climatechange http://t.co/uBcOVdOYOZ
dennisearlbaker,"@mitentforum #AMR #climatechange Solution #air #food #water #energy #jobs 
https://t.co/Dykn8Cnjr0"
USGSNewsClimate,"Coral reef webinar 4/16 @5pmET Avoid barriers, missing it’ll take atoll… http://t.co/uKdZTVuxkp #climatechange #usgs http://t.co/g2WNhWsadM"
BowlerDerek,"RT UN: #Climatechange is a “hunger-risk multiplier,” FAOnews convo on impacts on food &amp; nutrition … http://t.co/bRfGpcxSXy"
HuckMontgomery,"Hey @randpaul, NH wants you on the #hotseat. So you agree w 97% of scientists on #climatechange? #fitn http://t.co/RgHc0qQ2X5"
_annafagan,"RT @UN: #Climatechange is a “hunger-risk multiplier,” @FAOnews convo on impacts on food &amp; nutrition http://t.co/6L2ud6mYft http://t.co/P3C7…"
HealthyAmerica1,RT @LungAssociation: #Climatechange impacts our #air and our #health. Here's how: http://t.co/y5LTcg9NtN #NPHW #CleanAir4Kids http://t.co/L…
MSR_Future,A new look at prolonged radiation exposure #Fukushima #climatechange  http://t.co/mdPb2hJvJd http://t.co/swAeS3z52p
purr_haps,"RT @NRDC: This week, the Obama administration took action to protect communities from #climatechange impacts. http://t.co/9pyqJvt2Oq"
MovementMediaDC,Please watch: Small-Scale Farmers Cool the Planet Video Launch | #FairTrade #ClimateChange | @fairworldprj @DrBronner http://t.co/QzFn4LABta
PltBRos,Are we reaching a positive #climatechange tipping point? #keepitintheground http://t.co/0XjNe27ZFD via @guardian #climate
VictoriaLynden,Corporations Can’t Ignore #ClimateChange: http://t.co/4MsINYqCkg
southocbeaches,"RT @Greenpeace: US Medical schools begin training students to treat diseases resulting from #climatechange.
http://t.co/azXk0K76Ab http://t…"
AFNCWOODWARD,Kathleen Hartnett White @TPPF: Fighting #ISIS is a fight for #freedom. Fighting #climatechange involves surrendering freedoms
TriperitaM,RT @wef: What does #sustainableliving really mean? http://t.co/SRPc3lJDTx #sustainability #climatechange http://t.co/ZZTJ1ekZUC
becmann,#Beer companies commit to #sustainable practices to combat negative effects of #climatechange via @MintPressNews http://t.co/OPK3NGr2Ua
apidaeDI,"""Bring #climate impacts close to home when talking about #climatechange - match solutions to scale of impact"" @CourtSaintJohn"
